chr	pos	k
VII	321488	2
VII	323362	1
VII	324548	7
VII	348125	3
VII	348121	12
VII	358117	9
VII	358117	3
VII	361723	9
VII	361753	18
VII	378067	12
VII	379010	9
VII	379016	12
VII	379163	3
VII	379231	15
VII	394439	9
VII	394457	3
VII	394475	3
VII	397821	12
VII	397835	1
VII	400551	1
VII	401999	11
VII	422639	9
VII	429815	12
VII	431451	7
VII	431405	3
VII	431730	6
VII	431730	12
VII	442140	12
VII	442140	36
VII	442173	3
VII	442227	12
VII	448883	3
VII	449252	12
VII	450091	5
VII	467699	3
VII	469216	9
VII	469243	3
VII	482631	12
VII	498009	6
VII	508788	7
VII	509834	6
VII	519032	51
VII	519267	51
VII	529925	15
VII	529987	3
VII	530663	3
VII	531845	2
VII	535251	11
VII	535800	11
VII	541388	11
VII	555982	1
VII	567796	11
VII	581691	6
VII	582149	12
VII	583719	12
VII	592125	6
VII	611745	2
VII	620024	20
VII	627187	1
VII	633936	12
VII	639660	1
VII	640618	1
VII	641135	9
VII	644773	2
VII	678060	1
VII	696353	12
VII	696851	6
VII	700001	1
VII	726586	17
VII	728881	3
VII	733110	1
VII	741894	4
VII	742158	1
VII	746576	1
VII	753177	15
VII	753297	6
VII	800515	7
VII	806553	12
VII	806530	39
VII	807336	3
VII	807475	6
VII	807492	6
VII	807528	6
VII	808387	2
VII	817664	11
VII	823246	11
VII	825633	12
VII	850894	9
VII	855203	10
VII	877156	24
VII	877156	48
VII	882440	13
VII	890972	9
VII	890917	30
VII	892597	10
VII	910113	1
VII	931728	11
VII	949252	2
VII	957477	3
VII	957492	12
VII	957495	15
VII	957495	3
VII	959780	2
VII	961253	11
VII	972993	9
VII	974912	9
VII	981237	12
VII	982471	11
VII	985723	1
VII	987331	11
VII	988895	3
VII	1004508	2
VII	1010880	11
VII	1014336	15
VII	1017232	10
VII	1043767	2
VII	1051151	12
VII	1051184	9
VII	1061806	10
VII	1078397	12
VII	1082239	11
VII	1084738	11
VII	1088987	36
VII	1090861	10
VIII	5	13
VIII	148	10
VIII	1662	36
VIII	6871	11
VIII	8171	11
VIII	12290	9
VIII	33659	18
VIII	33617	12
VIII	48236	11
VIII	48216	3
VIII	49466	3
VIII	56420	12
VIII	57520	3
VIII	58097	15
VIII	58395	3
VIII	66129	6
VIII	66562	6
VIII	68990	12
VIII	75977	2
VIII	81859	1
VIII	85278	11
VIII	93346	12
VIII	103199	12
VIII	103206	12
VIII	111531	2
VIII	116692	11
VIII	121858	14
VIII	121859	14
VIII	122737	8
VIII	125833	1
VIII	137424	12
VIII	144506	3
VIII	167620	2
VIII	169173	6
VIII	173121	16
VIII	177230	6
VIII	187030	1
VIII	188955	6
VIII	197248	7
VIII	197263	3
VIII	197263	15
VIII	229200	1
VIII	236958	1
VIII	242206	13
VIII	244339	12
VIII	252861	3
VIII	252861	15
VIII	252924	12
VIII	252930	6
VIII	264766	12
VIII	282706	12
VIII	282757	27
VIII	283246	12
VIII	293273	1
VIII	316463	15
VIII	340059	2
VIII	345060	6
VIII	365362	6
VIII	365380	3
VIII	365357	36
VIII	365359	30
VIII	366907	6
VIII	366892	9
VIII	370544	2
VIII	372882	6
VIII	372913	15
VIII	373081	6
VIII	373102	15
VIII	378121	6
VIII	386096	3
VIII	391483	11
VIII	391820	3
VIII	391931	11
VIII	413602	13
VIII	420572	9
VIII	420558	15
VIII	420587	9
VIII	422591	12
VIII	436872	3
VIII	445267	12
VIII	451248	11
VIII	451522	9
VIII	462010	13
VIII	465803	2
VIII	475932	2
VIII	491799	10
VIII	504373	6
VIII	508801	1
VIII	510044	9
VIII	510047	12
VIII	514830	2
VIII	516589	6
VIII	523760	11
VIII	527584	9
VIII	527867	21
VIII	528859	13
VIII	539794	15
VIII	543881	11
VIII	549577	11
VIII	549763	1
VIII	552034	3
VIII	554053	14
VIII	556865	13
VIII	556876	15
VIII	556898	11
VIII	556893	17
VIII	556922	2
VIII	556910	10
VIII	556922	12
VIII	556950	6
VIII	556910	16
VIII	556932	16
VIII	560461	36
VIII	560533	36
VIII	562317	10
VIII	562456	13
VIII	562469	6
VIII	562475	25
VIII	562456	31
VIII	562485	13
VIII	562500	6
VIII	562516	24
VIII	562529	13
VIII	562517	11
VIII	562555	11
VIII	562566	26
VIII	562589	18
VIII	562581	8
VIII	562610	11
IX	5	11
IX	1	21
IX	36	15
IX	15	5
IX	45	13
IX	188	10
IX	1686	36
IX	2227	12
IX	2204	24
IX	2272	24
IX	2236	36
IX	2227	60
IX	2299	36
IX	2356	12
IX	6593	11
IX	11364	2
IX	22809	8
IX	23300	9
IX	24149	39
IX	25350	42
IX	27205	9
IX	44128	15
IX	49508	3
IX	51656	15
IX	51669	15
IX	51656	3
IX	56789	3
IX	83356	10
IX	95172	18
IX	101456	9
IX	102525	8
IX	105318	3
IX	105350	3
IX	105768	3
IX	127993	10
IX	128508	3
IX	128673	6
IX	128704	6
IX	128712	9
IX	137090	15
IX	137112	9
IX	137100	30
IX	141766	7
IX	144118	2
IX	146884	78
IX	148130	8
IX	153591	3
IX	155082	10
IX	163246	1
IX	169453	3
IX	169454	9
IX	169478	3
IX	174155	13
IX	175991	9
IX	177467	12
IX	177467	2
IX	180250	10
IX	187823	1
IX	195343	8
IX	197290	17
IX	206977	78
IX	206977	78
IX	228595	10
IX	240797	10
IX	241033	1
IX	245963	1
IX	247851	18
IX	254829	9
IX	254876	13
IX	254877	13
IX	256953	11
IX	257465	8
IX	280041	12
IX	284750	12
IX	285137	11
IX	334101	12
IX	334142	33
IX	334144	66
IX	334330	12
IX	339226	1
IX	350095	12
IX	350098	12
IX	355657	18
IX	366532	18
IX	368431	21
IX	369844	9
IX	375792	12
IX	376614	3
IX	377228	10
IX	387144	1
IX	387286	5
IX	391114	45
IX	391261	45
IX	391384	36
IX	391340	81
IX	391420	45
IX	391555	36
IX	391627	45
IX	391762	36
IX	391717	81
IX	391799	45
IX	391888	81
IX	391934	36
IX	392014	36
IX	392051	45
IX	392097	81
IX	392140	36
IX	392221	36
IX	392302	36
IX	392410	81
IX	392491	36
IX	392527	81
IX	392608	36
IX	392644	45
IX	392816	39
IX	392921	30
IX	399996	21
IX	400008	12
IX	400014	9
IX	400455	9
IX	400455	6
IX	433947	21
IX	436080	11
IX	437689	11
IX	439593	11
IX	439797	11
IX	439833	11
IX	439857	12
X	5	21
X	19	15
X	28	13
X	171	10
X	1669	36
X	2210	12
X	2187	24
X	2255	24
X	2219	36
X	2210	60
X	2282	36
X	2339	12
X	6576	11
X	11347	2
X	39996	15
X	59055	1
X	60688	10
X	76563	2
X	78982	9
X	91810	9
X	99491	14
X	99492	15
X	99493	13
X	99636	12
X	108332	9
X	114878	6
X	114872	18
X	114872	9
X	120863	72
X	121007	57
X	141068	9
X	150161	3
X	156399	14
X	172558	11
X	172565	13
X	174132	6
X	177911	2
X	188113	6
X	189031	3
X	189025	21
X	196901	12
X	211726	10
X	217116	10
X	245275	9
X	245298	12
X	251757	8
X	267650	9
X	280028	12
X	293464	12
X	293992	10
X	342349	1
X	354967	10
X	357932	4
X	367315	57
X	383743	5
X	393824	1
X	393830	14
X	400123	9
X	400142	18
X	400203	9
X	400156	63
X	400193	54
X	400247	9
X	400227	18
X	402005	21
X	404067	3
X	411853	9
X	424173	2
X	424907	1
X	436487	11
X	456067	2
X	457887	14
X	457904	1
X	459853	15
X	468291	10
X	470123	3
X	472503	11
X	483675	11
X	497304	2
X	519256	2
X	519674	3
X	525774	1
X	526957	12
X	551895	10
X	577026	2
X	586111	6
X	594188	3
X	603229	6
X	607430	10
X	637691	12
X	639199	1
X	639991	2
X	658651	10
X	661765	3
X	701747	2
X	709125	12
X	709123	24
X	714131	72
X	714272	36
X	714884	9
X	714902	27
X	714938	18
X	715034	9
X	715037	18
X	715055	27
X	715082	54
X	715021	18
X	715073	18
X	730675	11
X	743509	11
X	745421	11
X	745632	11
X	745622	22
X	745697	13
X	745675	6
XI	1	13
XI	10	17
XI	1	30
XI	27	13
XI	2123	21
XI	19719	11
XI	22041	1
XI	26592	2
XI	36502	8
XI	36589	2
XI	42336	3
XI	56854	10
XI	63954	24
XI	63979	45
XI	64047	24
XI	63949	93
XI	63964	93
XI	64143	11
XI	64133	21
XI	64117	72
XI	64274	10
XI	64303	21
XI	64060	24
XI	67767	1
XI	67761	7
XI	67893	12
XI	68344	9
XI	76106	33
XI	78800	2
XI	98362	10
XI	120372	7
XI	124092	6
XI	126104	3
XI	126170	18
XI	136104	2
XI	142230	57
XI	142473	57
XI	144677	54
XI	151873	11
XI	154032	12
XI	163665	12
XI	164845	2
XI	166046	5
XI	168996	4
XI	171170	4
XI	179179	10
XI	184502	3
XI	196849	6
XI	208983	9
XI	220774	9
XI	220927	9
XI	226078	9
XI	232544	3
XI	232723	15
XI	240662	6
XI	240656	12
XI	240656	3
XI	240683	18
XI	240701	27
XI	240728	30
XI	240741	18
XI	240766	18
XI	280389	9
XI	280389	3
XI	280930	2
XI	283876	15
XI	286193	11
XI	286466	14
XI	286450	15
XI	304883	12
XI	307257	10
XI	320007	15
XI	320824	1
XI	321766	20
XI	335122	8
XI	336743	6
XI	337279	15
XI	337463	6
XI	337501	9
XI	340677	10
XI	340664	13
XI	340681	20
XI	340682	10
XI	342742	11
XI	343644	21
XI	351207	9
XI	364316	6
XI	364316	12
XI	364345	4
XI	380117	3
XI	380935	18
XI	380906	36
XI	381059	12
XI	381279	12
XI	381506	3
XI	381509	15
XI	381644	9
XI	381641	12
XI	382534	8
XI	382542	11
XI	382542	14
XI	382561	3
XI	385104	1
XI	386875	18
XI	386875	21
XI	387142	3
XI	393488	11
XI	394458	12
XI	396599	15
XI	409141	9
XI	427232	15
XI	428758	4
XI	431309	15
XI	436847	10
XI	458411	11
XI	463262	1
XI	464401	18
XI	465173	2
XI	489793	11
XI	499528	12
XI	515038	13
XI	517724	11
XI	518112	1
XI	519806	9
XI	519794	15
XI	519789	9
XI	523650	9
XI	524036	1
XI	525215	3
XI	530807	3
XI	557487	12
XI	557489	11
XI	559921	9
XI	561768	12
XI	567101	3
XI	576493	3
XI	579940	24
XI	613208	33
XI	613301	12
XI	613670	9
XI	613692	3
XI	613770	3
XI	617558	1
XI	633488	9
XI	635449	1
XI	635451	18
XI	637852	7
XI	647262	81
XI	663478	17
XI	666615	11
XI	666615	28
XI	666625	17
XI	666642	11
XI	666664	19
XI	666690	15
XI	666694	23
XI	666681	13
XI	666695	25
XI	666682	53
XI	666710	10
XI	666676	38
XI	666763	23
XI	666717	15
XI	666748	21
XI	666767	17
XII	7	11
XII	17	12
XII	20	17
XII	54	8
XII	186	10
XII	1683	36
XII	5248	11
XII	5661	13
XII	5673	11
XII	7337	36
XII	10783	11
XII	11196	13
XII	11219	14
XII	11221	12
XII	11212	20
XII	11212	26
XII	11274	17
XII	11219	2
XII	11251	30
XII	11286	11
XII	11267	25
XII	11261	13
XII	11320	11
XII	11311	19
XII	11297	14
XII	11337	10
XII	11281	33
XII	14519	10
XII	29485	13
XII	35426	5
XII	41217	2
XII	48856	1
XII	50091	3
XII	50084	12
XII	50088	9
XII	52020	2
XII	86707	13
XII	88211	12
XII	94342	10
XII	94765	21
XII	99888	6
XII	99888	18
XII	103617	81
XII	104779	6
XII	105417	15
XII	105418	3
XII	121963	10
XII	122009	1
XII	123488	3
XII	124680	6
XII	125400	2
XII	129217	10
XII	129263	9
XII	130068	6
XII	130084	6
XII	130068	12
XII	132248	15
XII	132266	9
XII	170676	2
XII	172019	2
XII	215357	11
XII	220945	11
XII	223000	21
XII	237846	6
XII	245257	2
XII	251231	6
XII	252899	18
XII	252911	9
XII	252905	12
XII	263918	12
XII	264077	1
XII	265481	10
XII	279918	9
XII	281378	9
XII	282685	13
XII	294647	11
XII	294647	11
XII	329730	6
XII	329727	18
XII	339677	2
XII	346678	6
XII	348897	13
XII	370052	9
XII	372739	6
XII	375259	27
XII	375259	54
XII	375259	27
XII	375336	6
XII	391075	10
XII	393193	12
XII	393713	12
XII	415549	11
XII	415700	15
XII	424619	9
XII	445456	7
XII	451265	13
XII	451268	10
XII	451543	7
XII	458705	9
XII	459804	1
XII	460192	8
XII	460384	1
XII	460412	7
XII	460680	7
XII	467842	9
XII	489515	6
XII	507436	9
XII	507436	36
XII	507433	27
XII	507559	9
XII	511519	3
XII	547519	18
XII	547516	9
XII	547519	36
XII	547537	18
XII	555318	3
XII	555321	12
XII	555782	21
XII	556267	30
XII	556276	30
XII	556345	3
XII	556348	9
XII	556469	2
XII	563476	8
XII	563477	2
XII	563515	2
XII	584256	12
XII	584256	12
XII	585024	6
XII	585081	21
XII	585921	1
XII	593135	10
XII	602081	24
XII	646943	9
XII	660350	8
XII	663303	12
XII	666014	27
XII	667994	12
XII	687588	2
XII	696961	5
XII	696956	15
XII	699940	1
XII	701183	12
XII	701196	3
XII	701253	12
XII	701374	18
XII	703676	6
XII	708693	15
XII	709118	15
XII	713390	8
XII	723688	11
XII	724595	13
XII	757479	2
XII	758782	9
XII	764273	10
XII	766504	1
XII	774119	11
XII	783599	11
XII	789090	21
XII	789090	63
XII	789216	21
XII	789638	9
XII	789632	12
XII	802584	13
XII	823443	2
XII	829399	2
XII	837517	2
XII	849646	3
XII	863483	3
XII	863697	3
XII	873640	2
XII	881941	2
XII	900494	15
XII	903361	9
XII	903579	11
XII	904051	33
XII	904177	9
XII	914908	16
XII	927167	9
XII	927182	9
XII	927203	6
XII	932259	8
XII	1000204	10
XII	1007311	10
XII	1011575	12
XII	1011953	3
XII	1015483	2
XII	1015516	12
XII	1024981	1
XII	1028986	10
XII	1031403	3
XII	1038159	3
XII	1054598	5
XII	1065052	8
XII	1065032	21
XII	1065040	13
XII	1065061	20
XII	1065081	13
XII	1065074	15
XII	1065098	9
XII	1065115	6
XII	1065107	11
XII	1069628	36
XII	1071505	10
XII	1072047	11
XII	1076291	36
XIII	1	11
XIII	23	6
XIII	164	10
XIII	1678	36
XIII	5124	11
XIII	5560	13
XIII	5537	19
XIII	21959	2
XIII	31586	9
XIII	40144	5
XIII	41951	1
XIII	44387	3
XIII	57800	8
XIII	57827	6
XIII	65928	3
XIII	86941	3
XIII	95728	2
XIII	99493	5
XIII	101173	8
XIII	120593	12
XIII	120592	3
XIII	120784	12
XIII	124582	12
XIII	130048	75
XIII	143059	3
XIII	143059	12
XIII	146088	7
XIII	158397	1
XIII	159846	2
XIII	164393	1
XIII	165423	1
XIII	169074	6
XIII	169480	3
XIII	175555	12
XIII	175913	3
XIII	179694	3
XIII	179694	12
XIII	179931	9
XIII	179936	11
XIII	184210	11
XIII	189792	11
XIII	191938	5
XIII	191983	1
XIII	209871	3
XIII	211506	11
XIII	216655	9
XIII	220118	10
XIII	225532	13
XIII	233276	4
XIII	233297	8
XIII	235979	13
XIII	238304	3
XIII	238331	3
XIII	238600	18
XIII	238764	1
XIII	239354	2
XIII	245862	9
XIII	248118	12
XIII	248139	6
XIII	248127	24
XIII	248244	6
XIII	254409	6
XIII	255026	9
XIII	255025	18
XIII	256658	9
XIII	280711	6
XIII	280706	18
XIII	296356	13
XIII	299073	10
XIII	301909	12
XIII	314734	21
XIII	321329	2
XIII	343216	6
XIII	348787	6
XIII	354194	3
XIII	354240	15
XIII	354463	15
XIII	354575	9
XIII	356113	9
XIII	357276	11
XIII	362858	11
XIII	372556	12
XIII	372974	11
XIII	378562	11
XIII	387072	9
XIII	388685	2
XIII	409229	6
XIII	409195	15
XIII	409508	9
XIII	409580	3
XIII	409595	12
XIII	413598	11
XIII	433353	9
XIII	442299	12
XIII	465590	11
XIII	473399	10
XIII	483744	1
XIII	489742	12
XIII	504386	11
XIII	514629	3
XIII	515571	3
XIII	523900	14
XIII	534115	12
XIII	538608	2
XIII	539499	3
XIII	561878	2
XIII	587630	3
XIII	587716	6
XIII	587704	15
XIII	588273	15
XIII	588583	6
XIII	588564	21
XIII	588634	3
XIII	588607	6
XIII	588649	6
XIII	588571	27
XIII	588650	12
XIII	588622	27
XIII	588673	12
XIII	590047	15
XIII	608911	24
XIII	609111	24
XIII	609202	78
XIII	609318	24
XIII	609318	48
XIII	609618	24
XIII	609592	78
XIII	610522	11
XIII	622169	2
XIII	625416	8
XIII	625709	1
XIII	646856	2
XIII	666717	6
XIII	668256	3
XIII	670397	18
XIII	670417	12
XIII	695148	11
XIII	698219	18
XIII	699583	9
XIII	715595	11
XIII	722797	6
XIII	722792	18
XIII	722797	18
XIII	723130	9
XIII	731282	10
XIII	741615	15
XIII	744558	12
XIII	752306	12
XIII	756948	7
XIII	756961	6
XIII	756961	12
